name,address,thana,district,brand,capacity,quantity,receipt,type,model,serial
Tasty Treat-TT-Rampura Bazar,"278, West Rampura Bazar, Rampura",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Bonosree#C,"House # 15, Block # C, Banasree Main Road",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Basabo -1,"Mohiuddin Nibash, 98/1, East Basabo",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Banosree # B,"A M tower, Road 1, Banasree B Block",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-South Bonosree-2,"B-63, Main Road, South Bonosree, Block#B, Estern Housing",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Bonosree # J,"House#2, Road#6, Block#J, Avenue Road, Bonosree",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Basabo-2,"213, Middle Basaboo, 19 Atish Dipankar Road, Sabujbag",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Khilgoan Tilpa para,"298/A, Tilpa Para, Khilgoan",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-TT-Mohanagor project , Rampur","H#4, Road#4, Mahanagar Project, Rampura",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-TT-Modhubagh , Moghbazar","394, Modhubagh, Mogbazar",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Rampura -2,"356, East Rampura, DIT road",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
"Tasty Treat-TT-Shantinagar, Dhaka","148, Shantinagar Road, Shantinagar",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-Rajarbagh police line,"Rajarbagh Police Lines, Rajarbag",none,Dhaka,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT-KANDAPARA NAR.,"H#O2,Dokhin kandapara, narsingdi sadar",none,Narsingdi,RFL,30,1,359505,Digital weight scale,none,none
Tasty Treat-TT Narsingdi Sadar,"Nannu molla super market, DC Road, Narsingdi sadar",none,Narsingdi,RFL,30,1,359505,Digital weight scale,none,none
